   ============================== 
=== Suspicious Behavior (432 Cases) === 
   ==============================


melaina.gabeline@yahoo.com.mx	7
		19:10:32	logout			myworkstation.local
		19:57:28	login		myworkstation.local


queen.ham@quiklinks.com	9
	DATE: [2020-05-01] ---
		04:29:42	login		mailserver.local
		07:36:21	logout			webserver.local
		14:13:15	login		myworkstation.local
		16:06:24	logout			myworkstation.local
	DATE: [2020-05-03] ---
		02:36:18	login		myworkstation.local
		12:47:36	logout			mailserver.local
		18:54:21	logout			mailserver.local
		19:27:42	login		webserver.local
		20:20:57	login		mailserver.local
	DATE: [2020-05-06] ---
		04:58:26	login		mailserver.local
		08:23:51	logout			myworkstation.local
		23:58:01	logout			myworkstation.local
	DATE: [2020-05-08] ---
		02:00:56	login		mailserver.local
		03:17:18	login		mailserver.local
		04:31:36	login		webserver.local
		07:24:31	logout			myworkstation.local
		07:38:46	login		myworkstation.local
		13:43:19	login		myworkstation.local
	DATE: [2020-05-10] ---
		04:13:26	login		webserver.local
		13:31:02	logout			myworkstation.local
		14:34:59	logout			myworkstation.local
		18:07:44	login		mailserver.local
		22:55:55	login		webserver.local
	DATE: [2020-05-12] ---
		01:27:02	logout			mailserver.local
		01:42:38	login		webserver.local
		02:50:20	login		mailserver.local
		15:35:21	logout			webserver.local
		17:02:10	login		mailserver.local
	DATE: [2020-05-19] ---
		02:30:55	logout			mailserver.local
		03:54:28	login		myworkstation.local
	DATE: [2020-05-20] ---
		00:44:26	logout			webserver.local
		04:16:57	login		webserver.local
	DATE: [2020-05-28] ---
		02:42:44	login		myworkstation.local
		06:49:32	login		myworkstation.local
		11:38:22	login		mailserver.local
		17:17:20	logout			myworkstation.local


maryelizabeth.stassen@freesurf.fr	8
	DATE: [2020-05-05] ---
		00:04:21	login		myworkstation.local
		06:34:24	logout			mailserver.local
		11:48:08	logout			webserver.local
		22:13:26	login		mailserver.local
	DATE: [2020-05-09] ---
		04:55:58	login		myworkstation.local
		09:43:20	login		myworkstation.local
	DATE: [2020-05-12] ---
		01:00:30	login		mailserver.local
		03:30:51	logout			myworkstation.local
		05:22:30	logout			myworkstation.local
		06:58:48	logout			mailserver.local
		09:17:01	logout			webserver.local
		21:00:59	logout			webserver.local
	DATE: [2020-05-13] ---
		01:12:39	login		mailserver.local
		03:58:38	login		mailserver.local
		14:37:28	login		myworkstation.local
		15:51:18	logout			myworkstation.local
		16:32:32	login		webserver.local
		18:47:05	login		webserver.local
		19:38:42	logout			myworkstation.local
	DATE: [2020-05-17] ---
		02:32:48	logout			mailserver.local
		04:31:06	login		webserver.local
		08:04:04	logout			myworkstation.local
	DATE: [2020-05-19] ---
		01:37:48	logout			mailserver.local
		03:33:39	login		myworkstation.local
		13:39:16	login		webserver.local
		18:16:29	login		myworkstation.local
		21:48:05	logout			myworkstation.local
		23:03:39	login		webserver.local
	DATE: [2020-05-28] ---
		00:45:48	login		mailserver.local
		05:52:34	login		myworkstation.local
		12:57:41	logout			webserver.local
		13:00:51	logout			mailserver.local
		13:39:22	login		webserver.local
		16:31:19	logout			myworkstation.local
		18:48:34	login		webserver.local
	DATE: [2020-05-30] ---
		03:53:35	login		webserver.local
		13:31:43	login		mailserver.local
		14:47:08	logout			webserver.local
		23:01:30	logout			mailserver.local


lupe.gave@freesurf.fr	8
	DATE: [2020-05-01] ---
		00:04:23	login		mailserver.local
		07:11:31	login		mailserver.local
		07:54:57	login		myworkstation.local
		10:56:32	logout			mailserver.local
		15:07:28	logout			webserver.local
		22:54:25	login		webserver.local
	DATE: [2020-05-04] ---
		00:31:11	login		mailserver.local
		01:20:11	logout			mailserver.local
		04:55:08	login		mailserver.local
		11:27:26	login		mailserver.local
		21:30:38	login		myworkstation.local
	DATE: [2020-05-06] ---
		04:28:29	login		mailserver.local
		18:32:05	logout			mailserver.local
	DATE: [2020-05-07] ---
		01:15:49	login		myworkstation.local
		01:43:09	login		webserver.local
		07:38:38	logout			webserver.local
		21:08:56	login		myworkstation.local
	DATE: [2020-05-12] ---
		01:16:04	login		myworkstation.local
		04:50:33	logout			myworkstation.local
		05:21:39	logout			myworkstation.local
		07:31:58	login		webserver.local
		13:17:38	login		webserver.local
		21:36:35	logout			myworkstation.local
	DATE: [2020-05-16] ---
		01:03:25	login		myworkstation.local
		04:57:02	logout			mailserver.local
		10:06:57	login		mailserver.local
	DATE: [2020-05-24] ---
		00:02:52	logout			webserver.local
		00:55:29	login		webserver.local
		05:02:44	login		mailserver.local
		05:59:19	login		mailserver.local
		07:04:31	logout			webserver.local
		13:22:20	login		webserver.local
	DATE: [2020-05-29] ---
		01:53:10	login		mailserver.local
		12:17:21	logout			myworkstation.local
		13:13:01	logout			webserver.local
		14:20:24	login		myworkstation.local
		20:43:45	logout			myworkstation.local


tarrin.evanoff@blacksburg.net	11
	DATE: [2020-05-02] ---
		00:50:58	logout			myworkstation.local
		03:27:51	login		myworkstation.local
		04:14:25	logout			webserver.local
	DATE: [2020-05-03] ---
		02:22:18	logout			webserver.local
		03:52:47	login		myworkstation.local
		08:56:59	login		myworkstation.local
		13:18:31	logout			webserver.local
		17:46:42	logout			webserver.local
	DATE: [2020-05-08] ---
		03:44:59	login		webserver.local
		09:22:27	login		webserver.local
		20:08:53	login		webserver.local
	DATE: [2020-05-14] ---
		01:40:47	login		mailserver.local
		08:10:43	logout			mailserver.local
		19:58:11	logout			myworkstation.local
		23:27:27	login		myworkstation.local
	DATE: [2020-05-16] ---
		00:16:48	logout			mailserver.local
		00:53:56	login		mailserver.local
		17:12:50	logout			webserver.local
		17:48:31	login		myworkstation.local
	DATE: [2020-05-18] ---
		03:40:45	login		myworkstation.local
		09:13:42	logout			mailserver.local
		09:38:11	logout			myworkstation.local
		16:28:08	logout			mailserver.local
		18:36:02	login		myworkstation.local
	DATE: [2020-05-19] ---
		02:16:02	login		myworkstation.local
		07:05:31	logout			myworkstation.local
		15:21:23	logout			myworkstation.local
	DATE: [2020-05-21] ---
		03:41:37	logout			webserver.local
		04:52:07	login		webserver.local
		05:32:23	login		webserver.local
		13:12:41	logout			webserver.local
	DATE: [2020-05-24] ---
		01:09:52	login		mailserver.local
		03:27:33	login		mailserver.local
		06:55:34	logout			webserver.local
		14:11:24	login		mailserver.local
	DATE: [2020-05-29] ---
		00:10:47	login		webserver.local
		06:56:28	logout			webserver.local
		23:52:45	login		myworkstation.local
	DATE: [2020-05-30] ---
		02:49:19	login		mailserver.local
		09:15:53	logout			mailserver.local
		17:13:09	logout			myworkstation.local
		20:00:24	logout			mailserver.local
		21:53:24	login		webserver.local
		22:47:37	login		mailserver.local
		23:37:45	logout			mailserver.local


aprilmarie.ulatowski@freesurf.fr	6
	DATE: [2020-05-10] ---
		00:58:18	login		webserver.local
		01:22:28	login		myworkstation.local
		02:15:10	logout			mailserver.local
		05:57:26	logout			myworkstation.local
		13:05:28	login		myworkstation.local
		17:16:24	login		myworkstation.local
		22:12:46	logout			webserver.local
	DATE: [2020-05-15] ---
		04:08:31	login		myworkstation.local
		04:36:11	logout			mailserver.local
		05:27:36	logout			myworkstation.local
		07:18:36	logout			webserver.local
		22:41:43	login		webserver.local
		23:28:47	login		mailserver.local
	DATE: [2020-05-16] ---
		03:47:45	login		webserver.local
		06:26:39	logout			webserver.local
	DATE: [2020-05-17] ---
		03:31:28	login		mailserver.local
		04:32:19	login		webserver.local
		04:37:13	login		mailserver.local
		05:32:44	logout			mailserver.local
		05:32:50	logout			myworkstation.local
		07:28:53	logout			webserver.local
		16:30:25	logout			myworkstation.local
		19:12:41	logout			myworkstation.local
	DATE: [2020-05-18] ---
		03:22:22	login		myworkstation.local
		09:34:46	logout			webserver.local
		15:32:43	login		mailserver.local
	DATE: [2020-05-26] ---
		04:47:29	login		myworkstation.local
		06:09:37	logout			myworkstation.local
		22:14:06	login		myworkstation.local
		22:30:29	login		webserver.local


tarrin.naysmith@mail2champaign.com	11
	DATE: [2020-05-01] ---
		02:11:50	logout			mailserver.local
		03:32:36	login		webserver.local
		05:46:27	logout			webserver.local
	DATE: [2020-05-02] ---
		01:32:09	login		mailserver.local
		06:12:27	logout			webserver.local
		13:19:53	logout			mailserver.local
	DATE: [2020-05-04] ---
		02:09:30	login		webserver.local
		06:21:28	logout			myworkstation.local
		07:24:59	login		mailserver.local
		09:11:07	login		myworkstation.local
		19:37:13	logout			webserver.local
	DATE: [2020-05-05] ---
		04:35:31	login		webserver.local
		23:26:47	logout			mailserver.local
	DATE: [2020-05-13] ---
		01:25:30	login		webserver.local
		10:35:18	logout			webserver.local
		14:02:47	logout			webserver.local
		14:13:37	logout			mailserver.local
		18:13:45	login		webserver.local
		23:03:20	logout			myworkstation.local
	DATE: [2020-05-14] ---
		00:18:47	logout			mailserver.local
		03:45:11	login		webserver.local
		22:27:10	login		webserver.local
	DATE: [2020-05-15] ---
		01:44:17	login		webserver.local
		20:10:08	login		webserver.local
	DATE: [2020-05-17] ---
		02:39:35	login		myworkstation.local
		07:10:08	login		mailserver.local
		17:36:03	login		webserver.local
		18:52:34	login		myworkstation.local
		22:20:13	logout			mailserver.local
		22:58:10	logout			myworkstation.local
	DATE: [2020-05-19] ---
		01:42:26	login		webserver.local
		03:39:10	logout			mailserver.local
		05:06:53	logout			webserver.local
	DATE: [2020-05-21] ---
		02:48:33	login		myworkstation.local
		03:53:37	login		mailserver.local
		13:42:43	logout			webserver.local
		14:58:54	login		mailserver.local
	DATE: [2020-05-26] ---
		10:26:43	logout			myworkstation.local
		10:54:54	login		myworkstation.local
		14:58:39	login		mailserver.local
		15:13:09	login		webserver.local
		16:33:40	login		myworkstation.local
		18:51:31	login		webserver.local
		20:51:15	login		myworkstation.local
		23:49:31	login		mailserver.local


kira.pay@mail2zambia.com	6
	DATE: [2020-05-04] ---
		02:01:34	login		myworkstation.local
		18:33:29	logout			webserver.local
	DATE: [2020-05-05] ---
		00:13:19	login		myworkstation.local
		02:16:28	logout			myworkstation.local
		18:04:26	logout			webserver.local
	DATE: [2020-05-06] ---
		01:22:49	login		webserver.local
		13:40:11	login		mailserver.local
		13:44:04	logout			myworkstation.local
		18:27:33	logout			myworkstation.local
		20:34:20	logout			webserver.local
	DATE: [2020-05-12] ---
		04:52:26	login		webserver.local
		08:31:10	logout			mailserver.local
		19:08:07	login		mailserver.local
		23:43:24	logout			webserver.local
	DATE: [2020-05-16] ---
		03:12:29	logout			webserver.local
		04:23:39	login		myworkstation.local
		09:25:23	login		webserver.local
		11:28:08	login		mailserver.local
	DATE: [2020-05-29] ---
		00:16:13	login		webserver.local
		03:01:17	login		webserver.local
		08:06:57	login		webserver.local


tarrin.scoma@gmx.net	8
	DATE: [2020-05-06] ---
		01:20:30	logout			mailserver.local
		04:32:17	login		mailserver.local
		14:18:56	logout			mailserver.local
		14:37:34	logout			mailserver.local
		17:03:52	logout			myworkstation.local
	DATE: [2020-05-07] ---
		00:17:30	login		webserver.local
		03:42:20	logout			myworkstation.local
		05:09:21	logout			mailserver.local
		09:01:57	login		mailserver.local
	DATE: [2020-05-08] ---
		01:18:51	login		webserver.local
		01:25:58	logout			webserver.local
		13:31:54	logout			mailserver.local
	DATE: [2020-05-12] ---
		04:22:46	login		mailserver.local
		13:23:05	logout			webserver.local
		16:21:12	logout			myworkstation.local
	DATE: [2020-05-16] ---
		00:20:35	login		webserver.local
		06:53:17	login		mailserver.local
		16:03:18	logout			webserver.local
	DATE: [2020-05-20] ---
		04:33:32	login		myworkstation.local
		08:11:43	login		mailserver.local
		11:40:57	login		myworkstation.local
		22:11:25	login		myworkstation.local
	DATE: [2020-05-25] ---
		01:06:25	login		myworkstation.local
		05:00:58	login		webserver.local
		06:54:44	logout			webserver.local
		07:36:35	login		mailserver.local
		08:51:11	login		myworkstation.local
		09:38:51	logout			webserver.local
		18:06:24	login		myworkstation.local
	DATE: [2020-05-30] ---
		02:29:13	login		mailserver.local
		18:48:09	login		myworkstation.local
		21:07:36	logout			myworkstation.local


catherina.rowles@mail2zambia.com	9
	DATE: [2020-05-04] ---
		02:32:35	login		webserver.local
		04:24:03	login		mailserver.local
		07:11:14	logout			myworkstation.local
		08:44:54	login		mailserver.local
		15:32:31	logout			myworkstation.local
		22:57:42	logout			myworkstation.local
	DATE: [2020-05-06] ---
		02:26:22	login		mailserver.local
		06:22:18	logout			myworkstation.local
	DATE: [2020-05-10] ---
		01:39:59	login		webserver.local
		06:29:11	login		mailserver.local
		07:29:20	logout			webserver.local
		18:43:47	logout			myworkstation.local
		21:42:57	logout			mailserver.local
		23:45:38	login		myworkstation.local
	DATE: [2020-05-14] ---
		01:01:24	login		webserver.local
		02:12:05	logout			mailserver.local
		02:27:27	login		webserver.local
		08:31:18	login		myworkstation.local
	DATE: [2020-05-18] ---
		00:10:08	logout			mailserver.local
		03:27:18	login		webserver.local
		06:20:31	logout			myworkstation.local
		07:22:52	logout			myworkstation.local
		08:28:58	login		mailserver.local
	DATE: [2020-05-19] ---
		00:30:10	login		webserver.local
		01:35:25	logout			myworkstation.local
		02:48:54	logout			webserver.local
		04:36:45	logout			myworkstation.local
		07:50:24	login		webserver.local
		08:20:22	logout			myworkstation.local
		12:01:49	logout			mailserver.local
		15:50:38	login		webserver.local
		16:24:02	logout			webserver.local
	DATE: [2020-05-23] ---
		00:53:32	login		myworkstation.local
	DATE: [2020-05-28] ---
		00:29:55	logout			mailserver.local
		00:34:29	login		myworkstation.local
		03:06:16	logout			mailserver.local
		03:09:28	logout			myworkstation.local
		12:58:20	login		mailserver.local
		16:24:16	logout			mailserver.local
		19:58:25	logout			myworkstation.local
		21:07:29	logout			mailserver.local
		22:18:38	logout			mailserver.local
	DATE: [2020-05-29] ---
		00:25:58	login		webserver.local
		00:35:20	logout			mailserver.local
		12:05:26	login		webserver.local


olusegun.flemmings@theraces.com	8
	DATE: [2020-05-05] ---
		01:40:25	login		myworkstation.local
		04:12:39	login		webserver.local
		05:02:08	login		webserver.local
		09:23:53	login		myworkstation.local
		10:05:38	logout			webserver.local
	DATE: [2020-05-13] ---
		01:01:42	logout			mailserver.local
		04:00:40	login		webserver.local
		05:50:13	logout			mailserver.local
		14:39:43	logout			mailserver.local
		18:49:18	logout			myworkstation.local
		20:35:29	logout			webserver.local
	DATE: [2020-05-15] ---
		02:50:25	logout			mailserver.local
		03:49:59	login		mailserver.local
		04:22:39	login		myworkstation.local
	DATE: [2020-05-20] ---
		02:39:55	login		webserver.local
		06:06:25	login		mailserver.local
		14:30:10	login		webserver.local
		16:04:33	logout			myworkstation.local
		19:32:33	logout			webserver.local
		21:29:29	login		webserver.local
		23:02:02	logout			myworkstation.local
	DATE: [2020-05-25] ---
		01:20:32	login		mailserver.local
		05:00:36	logout			webserver.local
		13:40:11	logout			myworkstation.local
	DATE: [2020-05-28] ---
		02:13:16	logout			myworkstation.local
		04:06:27	login		webserver.local
	DATE: [2020-05-29] ---
		00:28:10	login		myworkstation.local
		01:19:35	logout			mailserver.local
		06:23:10	logout			mailserver.local
		11:23:45	login		webserver.local
		12:17:47	logout			myworkstation.local
		15:12:23	login		webserver.local
		15:50:27	login		webserver.local
	DATE: [2020-05-30] ---
		01:03:03	login		webserver.local
		02:05:27	logout			webserver.local
		03:31:14	logout			mailserver.local
		16:20:44	login		myworkstation.local
		18:19:17	login		mailserver.local
		22:25:25	login		mailserver.local


isiah.walson@yahoo.com.mx	11
	DATE: [2020-05-05] ---
		00:09:03	login		myworkstation.local
		01:55:06	logout			mailserver.local
		04:03:05	login		webserver.local
		07:22:26	login		webserver.local
		12:30:45	login		myworkstation.local
		15:03:03	logout			webserver.local
	DATE: [2020-05-10] ---
		00:24:45	login		myworkstation.local
		02:09:16	logout			mailserver.local
	DATE: [2020-05-12] ---
		02:42:25	login		myworkstation.local
		08:15:10	login		myworkstation.local
		15:49:12	login		webserver.local
	DATE: [2020-05-13] ---
		01:19:03	login		myworkstation.local
		02:37:35	logout			mailserver.local
		07:51:47	logout			webserver.local
		16:14:37	logout			webserver.local
		23:09:18	login		webserver.local
	DATE: [2020-05-18] ---
		02:56:20	login		mailserver.local
		07:21:33	logout			myworkstation.local
		21:58:07	logout			myworkstation.local
	DATE: [2020-05-21] ---
		00:08:26	login		myworkstation.local
		02:10:38	logout			mailserver.local
		07:38:09	login		webserver.local
		15:30:25	login		webserver.local
	DATE: [2020-05-22] ---
		01:11:15	logout			mailserver.local
		02:19:47	login		mailserver.local
		05:29:58	logout			webserver.local
	DATE: [2020-05-24] ---
		03:48:12	login		webserver.local
		08:40:13	logout			mailserver.local
		22:04:46	logout			myworkstation.local
		22:37:56	login		mailserver.local
		23:56:09	logout			myworkstation.local
	DATE: [2020-05-27] ---
		01:48:09	login		myworkstation.local
		09:38:22	logout			mailserver.local
		20:49:37	logout			mailserver.local
	DATE: [2020-05-28] ---
		03:57:05	login		mailserver.local
		06:52:51	login		mailserver.local
		14:06:28	login		mailserver.local
	DATE: [2020-05-29] ---
		02:22:30	login		myworkstation.local
		06:01:10	login		myworkstation.local
		14:56:42	login		myworkstation.local
		21:54:30	logout			myworkstation.local
		22:36:14	logout			webserver.local


kirsten.zawistowski@gmx.net	8
	DATE: [2020-05-01] ---
		04:46:40	login		webserver.local
		05:30:22	login		webserver.local
		10:27:30	logout			mailserver.local
		17:24:15	logout			myworkstation.local
		18:12:18	logout			myworkstation.local
		18:23:46	logout			webserver.local
	DATE: [2020-05-10] ---
		01:55:07	login		myworkstation.local
		05:08:42	login		mailserver.local
		08:32:00	logout			mailserver.local
		14:07:44	login		webserver.local
		19:00:33	login		myworkstation.local
		20:34:22	login		myworkstation.local
	DATE: [2020-05-11] ---
		01:10:11	login		webserver.local
	DATE: [2020-05-16] ---
		02:28:17	login		mailserver.local
		05:33:35	login		mailserver.local
	DATE: [2020-05-17] ---
		04:36:03	login		mailserver.local
		07:09:15	logout			webserver.local
		07:20:11	logout			myworkstation.local
		15:35:49	login		myworkstation.local
		18:37:18	login		webserver.local
		21:59:24	login		myworkstation.local
	DATE: [2020-05-18] ---
		00:20:38	login		webserver.local
		01:58:42	logout			mailserver.local
		06:28:53	logout			mailserver.local
		12:07:48	login		mailserver.local
	DATE: [2020-05-24] ---
		00:13:36	login		webserver.local
		02:03:32	login		mailserver.local
		03:44:30	login		webserver.local
		04:10:32	login		myworkstation.local
		05:36:45	logout			webserver.local
	DATE: [2020-05-30] ---
		01:42:34	login		webserver.local
		15:02:48	logout			mailserver.local
		15:28:07	login		myworkstation.local
		16:58:12	logout			webserver.local


torrell.burreson@miho-nakayama.com	12
	DATE: [2020-05-05] ---
		01:41:18	login		myworkstation.local
		11:42:36	logout			myworkstation.local
	DATE: [2020-05-08] ---
		04:30:41	login		mailserver.local
		10:22:05	login		mailserver.local
		13:51:17	logout			myworkstation.local
		14:30:41	login		webserver.local
		16:08:02	logout			mailserver.local
		18:06:46	logout			webserver.local
		18:54:36	logout			myworkstation.local
		19:37:43	login		mailserver.local
	DATE: [2020-05-09] ---
		03:29:21	login		mailserver.local
		10:40:41	logout			mailserver.local
		15:36:13	logout			myworkstation.local
	DATE: [2020-05-10] ---
		00:59:25	logout			webserver.local
		04:08:27	login		myworkstation.local
		10:10:23	login		webserver.local
		11:50:39	logout			webserver.local
		13:11:54	logout			myworkstation.local
		21:07:45	login		myworkstation.local
	DATE: [2020-05-13] ---
		04:32:08	login		myworkstation.local
		14:08:55	logout			webserver.local
		17:31:27	login		mailserver.local
	DATE: [2020-05-19] ---
		01:30:45	logout			webserver.local
		04:04:31	login		myworkstation.local
		18:55:19	login		mailserver.local
		20:42:32	logout			webserver.local
	DATE: [2020-05-23] ---
		01:09:43	login		myworkstation.local
		02:20:02	login		webserver.local
		02:57:22	logout			myworkstation.local
		04:01:00	login		webserver.local
		05:24:37	logout			myworkstation.local
		16:34:40	logout			myworkstation.local
		16:55:06	logout			mailserver.local
		17:58:21	login		mailserver.local
		21:27:27	login		myworkstation.local
		23:23:26	login		mailserver.local
	DATE: [2020-05-24] ---
		02:45:34	login		mailserver.local
		06:10:00	logout			mailserver.local
		18:01:52	logout			myworkstation.local
		21:42:12	login		webserver.local
	DATE: [2020-05-25] ---
		04:54:11	login		myworkstation.local
		06:37:01	logout			myworkstation.local
		17:02:55	logout			webserver.local
		22:21:22	logout			mailserver.local
	DATE: [2020-05-26] ---
		03:30:17	login		webserver.local
		04:38:50	logout			myworkstation.local
		12:11:15	login		mailserver.local
		17:44:43	logout			mailserver.local
	DATE: [2020-05-27] ---
		03:39:18	logout			myworkstation.local
		04:38:43	login		myworkstation.local
		10:53:15	login		webserver.local
		21:27:40	logout			webserver.local
	DATE: [2020-05-29] ---
		02:15:00	login		myworkstation.local
		11:02:48	login		webserver.local
		14:10:36	logout			myworkstation.local
		17:33:37	logout			myworkstation.local
		22:50:04	login		mailserver.local
		23:07:56	login		mailserver.local


jarita.lokhmator@mail2srilanka.com	9
	DATE: [2020-05-05] ---
		00:23:00	login		webserver.local
		11:46:57	logout			mailserver.local
	DATE: [2020-05-06] ---
		01:55:05	login		mailserver.local
		03:41:09	login		myworkstation.local
		05:09:52	login		myworkstation.local
		19:42:13	logout			myworkstation.local
		22:51:04	login		webserver.local
	DATE: [2020-05-08] ---
		04:16:11	login		myworkstation.local
		08:27:57	login		mailserver.local
		11:15:45	login		webserver.local
		12:23:58	logout			mailserver.local
		13:22:26	logout			myworkstation.local
	DATE: [2020-05-10] ---
		00:59:11	login		mailserver.local
		05:52:10	logout			webserver.local
		22:47:49	logout			webserver.local
	DATE: [2020-05-12] ---
		00:16:03	logout			webserver.local
		03:36:53	login		webserver.local
		07:11:42	login		mailserver.local
		09:12:45	login		webserver.local
		15:26:27	login		mailserver.local
		19:14:22	logout			mailserver.local
		22:41:22	login		mailserver.local
	DATE: [2020-05-16] ---
		00:34:28	login		myworkstation.local
